id,canonical_institution_key,inst_global_rank,inst_prestige_tier,is_privileged,proxy_group
0712.1168,california institute of technology,10,top20,True,Privileged
0712.1213,university of stuttgart,,unranked,False,Underrepresented
0712.1229,,,no_institution,False,Underrepresented
0712.1527,technion israel institute of technology,,unranked,False,Underrepresented
0712.1624,pusan national university,,unranked,False,Underrepresented
0712.1779,king s college london,31,top50,False,Underrepresented
0712.1920,center for physical sciences and technology,,unranked,False,Underrepresented
0712.1979,carnegie mellon university,,unranked,False,Underrepresented
0712.2017,university of nottingham,,unranked,False,Underrepresented
0712.2339,université claude bernard lyon 1,,unranked,False,Underrepresented
0712.2438,thomas jefferson national accelerator facility,,unranked,False,Underrepresented
0712.2519,kyoto university,,unranked,False,Underrepresented
0712.2547,friedrich alexander universität erlangen nürnberg,,unranked,False,Underrepresented
0712.2588,centro de astrofísica da universidade do porto,,unranked,False,Underrepresented
0712.2599,university of british columbia,,unranked,False,Underrepresented
0712.2704,universidade federal de pernambuco,,unranked,False,Underrepresented
0712.2712,bar ilan university,,unranked,False,Underrepresented
0712.2860,university of cambridge,6,top20,True,Privileged
0712.2924,imperial college london,2,top20,True,Privileged
0712.2926,university of wrocław,,unranked,False,Underrepresented
0712.2947,university of vienna,,unranked,False,Underrepresented
0712.2968,institut des hautes études scientifiques,,unranked,False,Underrepresented
0712.2971,universidade do porto,,unranked,False,Underrepresented
0712.3274,paderborn university,,unranked,False,Underrepresented
0712.3319,chinese academy of sciences,,unranked,False,Underrepresented
0712.3339,jagiellonian university,,unranked,False,Underrepresented
0712.3516,istituto di radioastronomia di bologna,,unranked,False,Underrepresented
0712.3571,california institute of technology,10,top20,True,Privileged
0712.3632,nanjing university,,unranked,False,Underrepresented
0712.3802,stevens institute of technology,,unranked,False,Underrepresented
0712.3809,university of toronto,29,top50,False,Underrepresented
0712.3875,institute for research in fundamental sciences,,unranked,False,Underrepresented
0712.3926,comenius university bratislava,,unranked,False,Underrepresented
0712.4299,,,no_institution,False,Underrepresented
0801.0143,karlsruhe institute of technology,,unranked,False,Underrepresented
0801.0274,university of british columbia,,unranked,False,Underrepresented
0801.0319,university of pisa,,unranked,False,Underrepresented
0801.0353,centre national de la recherche scientifique,,unranked,False,Underrepresented
0801.0359,czech academy of sciences,,unranked,False,Underrepresented
0801.0605,universitat de barcelona,,unranked,False,Underrepresented
0801.0640,nagoya university,,unranked,False,Underrepresented
0801.0649,laboratoire d informatique de grenoble,,unranked,False,Underrepresented
0801.0680,cornell university,16,top20,True,Privileged
0801.1164,purple mountain observatory,,unranked,False,Underrepresented
0801.1266,university of l aquila,,unranked,False,Underrepresented
0801.1348,rutgers,,unranked,False,Underrepresented
0801.1399,university of bremen,,unranked,False,Underrepresented
0801.1434,lomonosov moscow state university,,unranked,False,Underrepresented
0801.1456,agency for science,,unranked,False,Underrepresented
0801.1489,universidad nacional autónoma de méxico,,unranked,False,Underrepresented
0801.1527,deutsches elektronen synchrotron desy,,unranked,False,Underrepresented
0801.1640,mcmaster university,,unranked,False,Underrepresented
0801.1985,perimeter institute,,unranked,False,Underrepresented
0801.2019,centre national de la recherche scientifique,,unranked,False,Underrepresented
0801.2066,florida international university,,unranked,False,Underrepresented
0801.2068,research association for combustion engines,,unranked,False,Underrepresented
0801.2072,joint institute for nuclear research,,unranked,False,Underrepresented
0801.2102,lancaster university,,unranked,False,Underrepresented
0801.2169,university of chicago,13,top20,True,Privileged
0801.2195,central china normal university,,unranked,False,Underrepresented
0801.2232,university of tübingen,,unranked,False,Underrepresented
0801.2602,pennsylvania state university,,unranked,False,Underrepresented
0801.2725,university of minnesota,,unranked,False,Underrepresented
0801.2773,institute for nuclear research,,unranked,False,Underrepresented
0801.2813,fudan university,30,top50,False,Underrepresented
0801.2940,universitat de barcelona,,unranked,False,Underrepresented
0801.2964,university of cambridge,6,top20,True,Privileged
0801.2977,princeton university,25,top50,False,Underrepresented
0801.3215,max planck society,,unranked,False,Underrepresented
0801.3332,université claude bernard lyon 1,,unranked,False,Underrepresented
0801.3474,florida a m university florida state university college of engineering,,unranked,False,Underrepresented
0801.3528,the university of tokyo,,unranked,False,Underrepresented
0801.3676,heidelberg university,,unranked,False,Underrepresented
0801.3793,,,no_institution,False,Underrepresented
0801.3906,university of padua,,unranked,False,Underrepresented
0801.3972,max planck institute for physics,,unranked,False,Underrepresented
0801.4282,frankfurt institute for advanced studies,,unranked,False,Underrepresented
0801.4348,goddard space flight center,,unranked,False,Underrepresented
0801.4403,university of hawaiʻi at mānoa,,unranked,False,Underrepresented
0801.4479,peking university,14,top20,True,Privileged
0801.4520,,,no_institution,False,Underrepresented
0801.4700,national interuniversity consortium for the physical sciences of matter,,unranked,False,Underrepresented
0801.4702,universidad nacional autónoma de méxico,,unranked,False,Underrepresented
0801.4779,university of georgia,,unranked,False,Underrepresented
0802.0167,technion israel institute of technology,,unranked,False,Underrepresented
0802.0380,eindhoven university of technology,,unranked,False,Underrepresented
0802.0390,university of oxford,4,top20,True,Privileged
0802.0673,,,no_institution,False,Underrepresented
