query_arxiv_id,rank,score,doc_arxiv_id,top_uni,relevant
1008.4682,38,0.8690614700317383,1501.07896,False,False
1008.4682,39,0.8680122494697571,1004.0372,False,False
1008.4682,40,0.8669525980949402,hep-th/9303055,False,False
1008.4682,41,0.8669461607933044,hep-ph/9605360,False,True
1008.4682,42,0.8668414354324341,physics/0304036,False,False
1008.4682,43,0.8667651414871216,1912.11518,False,False
1008.4682,44,0.8663627505302429,1602.05247,False,False
1008.4682,45,0.8655241131782532,2504.18192,False,False
1008.4682,46,0.8652032613754272,2201.04407,False,False
1008.4682,47,0.8645316362380981,1012.1107,False,False
1008.4682,48,0.8644083738327026,cond-mat/0703466,False,False
1008.4682,49,0.8643457293510437,math-ph/0505008,False,False
1008.4682,50,0.8642135262489319,q-bio/0403026,False,False
1008.4682,51,0.8640820980072021,2009.08944,False,False
1008.4682,52,0.8639241456985474,math/0406431,False,False
1008.4682,53,0.863695502281189,0705.2794,False,False
1008.4682,54,0.8636871576309204,hep-ph/0006160,True,True
1008.4682,55,0.863612174987793,2307.05607,False,False
1008.4682,56,0.8635072708129883,nlin/0001034,False,False
1008.4682,57,0.8632019758224487,nucl-ex/0201020,False,False
1008.4682,58,0.8627402782440186,1401.6636,False,False
1008.4682,59,0.8627001047134399,2511.09444,False,False
1008.4682,60,0.8626921772956848,1312.2499,False,False
1008.4682,61,0.8623327016830444,1312.0206,False,False
1008.4682,62,0.8623239994049072,1207.4409,False,False
1008.4682,63,0.8620989322662354,2509.01761,False,False
1008.4682,64,0.8611707091331482,1409.0360,False,False
1008.4682,65,0.8610327243804932,1408.6803,False,False
1008.4682,66,0.8609672784805298,1204.5591,False,False
1008.4682,67,0.8608907461166382,2112.14832,False,False
1008.4682,68,0.8608148694038391,1411.0953,False,False
1008.4682,69,0.8605670928955078,nlin/0509022,False,False
1008.4682,70,0.860458254814148,1607.08804,False,False
1008.4682,71,0.8604527711868286,1310.3867,False,False
1008.4682,72,0.8603981137275696,2202.09949,False,False
1008.4682,73,0.860150933265686,1706.00411,False,False
1008.4682,74,0.8601410984992981,2406.17007,False,False
1008.4682,75,0.8600481748580933,chao-dyn/9612022,False,False
1008.4682,76,0.8597311973571777,1804.01224,False,False
1008.4682,77,0.8596658110618591,1911.06690,False,False
1008.4682,78,0.8596556782722473,1608.01467,False,False
1008.4682,79,0.8593286871910095,1909.01798,True,False
1008.4682,80,0.8592343926429749,2103.10850,False,False
1008.4682,81,0.8591115474700928,2112.12184,False,False
1008.4682,82,0.8589962124824524,nlin/0501001,False,False
1008.4682,83,0.8589836359024048,2601.13985,False,False
1008.4682,84,0.8589547872543335,2303.13135,False,False
1008.4682,85,0.8588972687721252,1804.03510,False,False
1008.4682,86,0.8587725162506104,0712.1213,False,False
1008.4682,87,0.8587506413459778,0706.3968,False,False
1008.4682,88,0.858731210231781,1208.5823,False,False
1008.4682,89,0.8585147857666016,nlin/0409055,True,False
1008.4682,90,0.8583670258522034,1103.5625,False,False
1008.4682,91,0.8581867814064026,2209.11725,False,False
1008.4682,92,0.8581479787826538,1212.5070,False,False
1008.4682,93,0.8580277562141418,2108.09887,False,False
1008.4682,94,0.8578792810440063,cond-mat/9705230,False,False
1008.4682,95,0.8577440977096558,quant-ph/0412175,False,False
1008.4682,96,0.8576124906539917,1612.08008,False,False
1008.4682,97,0.8575284481048584,hep-ph/0208139,False,True
1008.4682,98,0.8572311401367188,2406.11630,False,False
1008.4682,99,0.8572015166282654,1207.5183,False,False
1008.4682,100,0.8570767641067505,1703.09151,False,False
1109.5817,1,0.810815691947937,0707.0450,False,False
